MXNET


TENSORFLOW
epoch 301, loss 0.3295, train acc 0.983, test acc 0.850
epoch 302, loss 0.3295, train acc 0.983, test acc 0.850
epoch 303, loss 0.3295, train acc 0.983, test acc 0.850
epoch 304, loss 0.3295, train acc 0.983, test acc 0.850
epoch 305, loss 0.3295, train acc 0.983, test acc 0.850
epoch 306, loss 0.3295, train acc 0.983, test acc 0.850
epoch 307, loss 0.3295, train acc 0.983, test acc 0.850
epoch 308, loss 0.3295, train acc 0.983, test acc 0.850
epoch 309, loss 0.3295, train acc 0.983, test acc 0.850
epoch 310, loss 0.3295, train acc 0.983, test acc 0.850
epoch 311, loss 0.3294, train acc 0.983, test acc 0.850
epoch 312, loss 0.3294, train acc 0.983, test acc 0.850
epoch 313, loss 0.3294, train acc 0.983, test acc 0.850
epoch 314, loss 0.3294, train acc 0.983, test acc 0.850
epoch 315, loss 0.3294, train acc 0.983, test acc 0.850
epoch 316, loss 0.3294, train acc 0.983, test acc 0.850
epoch 317, loss 0.3294, train acc 0.983, test acc 0.850
epoch 318, loss 0.3294, train acc 0.983, test acc 0.850
epoch 319, loss 0.3294, train acc 0.983, test acc 0.850
epoch 320, loss 0.3294, train acc 0.983, test acc 0.850
epoch 321, loss 0.3294, train acc 0.983, test acc 0.850
epoch 322, loss 0.3294, train acc 0.983, test acc 0.850
epoch 323, loss 0.3294, train acc 0.983, test acc 0.850
epoch 324, loss 0.3294, train acc 0.983, test acc 0.850
epoch 325, loss 0.3294, train acc 0.983, test acc 0.850
epoch 326, loss 0.3294, train acc 0.983, test acc 0.850
epoch 327, loss 0.3294, train acc 0.983, test acc 0.850
epoch 328, loss 0.3294, train acc 0.983, test acc 0.850
epoch 329, loss 0.3294, train acc 0.983, test acc 0.850
epoch 330, loss 0.3294, train acc 0.983, test acc 0.850
epoch 331, loss 0.3294, train acc 0.983, test acc 0.850
epoch 332, loss 0.3294, train acc 0.983, test acc 0.850
epoch 333, loss 0.3294, train acc 0.983, test acc 0.850
epoch 334, loss 0.3294, train acc 0.983, test acc 0.850
epoch 335, loss 0.3294, train acc 0.983, test acc 0.850
epoch 336, loss 0.3294, train acc 0.983, test acc 0.850
epoch 337, loss 0.3294, train acc 0.983, test acc 0.850
epoch 338, loss 0.3294, train acc 0.983, test acc 0.850
epoch 339, loss 0.3294, train acc 0.983, test acc 0.850
epoch 340, loss 0.3294, train acc 0.983, test acc 0.850
epoch 341, loss 0.3294, train acc 0.983, test acc 0.850
epoch 342, loss 0.3294, train acc 0.983, test acc 0.850
epoch 343, loss 0.3294, train acc 0.983, test acc 0.850
epoch 344, loss 0.3294, train acc 0.983, test acc 0.850
epoch 345, loss 0.3294, train acc 0.983, test acc 0.850
epoch 346, loss 0.3294, train acc 0.983, test acc 0.850
epoch 347, loss 0.3294, train acc 0.983, test acc 0.850
epoch 348, loss 0.3294, train acc 0.983, test acc 0.850
epoch 349, loss 0.3294, train acc 0.983, test acc 0.850
epoch 350, loss 0.3294, train acc 0.983, test acc 0.850
epoch 351, loss 0.3294, train acc 0.983, test acc 0.850
epoch 352, loss 0.3294, train acc 0.983, test acc 0.850
epoch 353, loss 0.3294, train acc 0.983, test acc 0.850
epoch 354, loss 0.3294, train acc 0.983, test acc 0.850
epoch 355, loss 0.3294, train acc 0.983, test acc 0.850
epoch 356, loss 0.3294, train acc 0.983, test acc 0.850
epoch 357, loss 0.3294, train acc 0.983, test acc 0.850
epoch 358, loss 0.3294, train acc 0.983, test acc 0.850
epoch 359, loss 0.3294, train acc 0.983, test acc 0.850
epoch 360, loss 0.3294, train acc 0.983, test acc 0.850
epoch 361, loss 0.3294, train acc 0.983, test acc 0.850
epoch 362, loss 0.3294, train acc 0.983, test acc 0.850
epoch 363, loss 0.3294, train acc 0.983, test acc 0.850
epoch 364, loss 0.3294, train acc 0.983, test acc 0.850
epoch 365, loss 0.3294, train acc 0.983, test acc 0.850
epoch 366, loss 0.3294, train acc 0.983, test acc 0.850
epoch 367, loss 0.3294, train acc 0.983, test acc 0.850
epoch 368, loss 0.3294, train acc 0.983, test acc 0.850
epoch 369, loss 0.3294, train acc 0.983, test acc 0.850
epoch 370, loss 0.3294, train acc 0.983, test acc 0.850
epoch 371, loss 0.3294, train acc 0.983, test acc 0.850
epoch 372, loss 0.3294, train acc 0.983, test acc 0.850
epoch 373, loss 0.3294, train acc 0.983, test acc 0.850
epoch 374, loss 0.3294, train acc 0.983, test acc 0.850
epoch 375, loss 0.3294, train acc 0.983, test acc 0.850
epoch 376, loss 0.3294, train acc 0.983, test acc 0.850
epoch 377, loss 0.3294, train acc 0.983, test acc 0.850
epoch 378, loss 0.3294, train acc 0.983, test acc 0.850
epoch 379, loss 0.3294, train acc 0.983, test acc 0.850
epoch 380, loss 0.3294, train acc 0.983, test acc 0.850
epoch 381, loss 0.3294, train acc 0.983, test acc 0.850
epoch 382, loss 0.3294, train acc 0.983, test acc 0.850
epoch 383, loss 0.3294, train acc 0.983, test acc 0.850
epoch 384, loss 0.3294, train acc 0.983, test acc 0.850
epoch 385, loss 0.3294, train acc 0.983, test acc 0.850
epoch 386, loss 0.3294, train acc 0.983, test acc 0.850
epoch 387, loss 0.3294, train acc 0.983, test acc 0.850
epoch 388, loss 0.3294, train acc 0.983, test acc 0.850
epoch 389, loss 0.3294, train acc 0.983, test acc 0.850
epoch 390, loss 0.3294, train acc 0.983, test acc 0.850
epoch 391, loss 0.3294, train acc 0.983, test acc 0.850
epoch 392, loss 0.3294, train acc 0.983, test acc 0.850
epoch 393, loss 0.3294, train acc 0.983, test acc 0.850
epoch 394, loss 0.3294, train acc 0.983, test acc 0.850
epoch 395, loss 0.3294, train acc 0.983, test acc 0.850
epoch 396, loss 0.3294, train acc 0.983, test acc 0.850
epoch 397, loss 0.3294, train acc 0.983, test acc 0.850
epoch 398, loss 0.3294, train acc 0.983, test acc 0.850
epoch 399, loss 0.3294, train acc 0.983, test acc 0.850
epoch 400, loss 0.3294, train acc 0.983, test acc 0.850
epoch 401, loss 0.3294, train acc 0.983, test acc 0.850
epoch 402, loss 0.3294, train acc 0.983, test acc 0.850
epoch 403, loss 0.3294, train acc 0.983, test acc 0.850
epoch 404, loss 0.3294, train acc 0.983, test acc 0.850
epoch 405, loss 0.3294, train acc 0.983, test acc 0.850
epoch 406, loss 0.3294, train acc 0.983, test acc 0.850
epoch 407, loss 0.3294, train acc 0.983, test acc 0.850
epoch 408, loss 0.3294, train acc 0.983, test acc 0.850
epoch 409, loss 0.3294, train acc 0.983, test acc 0.850
epoch 410, loss 0.3294, train acc 0.983, test acc 0.850
epoch 411, loss 0.3294, train acc 0.983, test acc 0.850
epoch 412, loss 0.3294, train acc 0.983, test acc 0.850
epoch 413, loss 0.3294, train acc 0.983, test acc 0.850
epoch 414, loss 0.3294, train acc 0.983, test acc 0.850
epoch 415, loss 0.3294, train acc 0.983, test acc 0.850
epoch 416, loss 0.3294, train acc 0.983, test acc 0.850
epoch 417, loss 0.3294, train acc 0.983, test acc 0.850
epoch 418, loss 0.3294, train acc 0.983, test acc 0.850
epoch 419, loss 0.3294, train acc 0.983, test acc 0.850
